parent,distance,pcode,importance,biz_ext,recommend,type,photos,discount_num,gridcode,typecode,shopinfo,poiweight,citycode,adname,children,alias,tel,id,tag,event,entr_location,indoor_map,email,timestamp,website,address,adcode,pname,biz_type,cityname,postcode,match,business_area,indoor_data,childtype,exit_location,name,location,shopid,navi_poiid,groupbuy_num,longitude_gcj02,latitude_gcj02,longitude_wgs84,latitude_wgs84,typecode_single,大类,中类,小类
[],[],440000,[],"{'cost': [], 'rating': '2.5'}",0,摩托车服务;摩托车服务相关;摩托车服务相关,[],0,3512074902,040000,0,[],20,花都区,[],[],[],B0HBRX8DNR,[],[],[],0,[],2022-06-01 04:34:56,[],莲中旧村一巷与莲中新村街交叉路口往西北约200米,440114,广东省,[],广州市,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],军仔摩托维修车,"112.998832,23.368174",[],[],0,112.998832,23.368174,112.99355039967232,23.370785248500823,40000,摩托车服务,摩托车服务相关,摩托车服务相关
[],[],440000,[],"{'cost': [], 'rating': '3.9'}",0,生活服务;维修站点;维修站点|摩托车服务;摩托车服务相关;摩托车服务相关,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/d08ebf6b44883d72b11fd306461fb369'}]",0,3513000811,071200|040000,0,[],20,花都区,[],[],[],B0FFG8HDA2,[],[],[],0,[],2022-03-16 10:01:08,[],南街路与东风路交叉口南40米,440114,广东省,[],广州市,[],0,炭步,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],钊记电动车维修,"113.105912,23.337270",[],[],0,113.105912,23.33727,113.10040022731754,23.33969952877628,40000,摩托车服务,摩托车服务相关,摩托车服务相关
[],[],440000,[],"{'cost': [], 'rating': '4.0'}",0,摩托车服务;摩托车销售;摩托车销售,"[{'title': [], 'url': 'http://aos-cdn-image.amap.com/sns/ugccomment/239aca13-03ec-4b00-9f7e-88f26a576418.jpg'}, {'title': [], 'url': 'http://aos-cdn-image.amap.com/sns/ugccomment/9c2ad22e-9955-42af-8401-337012d3e648.jpg'}]",0,3413709821,040100,0,[],20,花都区,[],[],[],B0FFHBXQVO,[],[],"113.106873,23.333308",0,[],2022-05-10 10:34:26,[],宝珠路18南100米,440114,广东省,[],广州市,[],0,炭步,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],荣记摩托车维修店,"113.106804,23.333266",[],[],0,113.106804,23.333266,113.10129263624604,23.33569678158608,40100,摩托车服务,摩托车销售,摩托车销售
[],[],440000,[],"{'cost': [], 'rating': []}",0,摩托车服务;摩托车维修;摩托车维修,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/38cdc686a86d54bf4f9618463caa346a'}]",0,3413709821,040200,0,[],20,花都区,[],[],[],B0FFGJV9F7,[],[],[],0,[],2022-05-31 07:21:16,[],南街路中国石化加油站(巴江站)西北侧约140米,440114,广东省,[],广州市,[],0,炭步,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],忠记摩托车修配部,"113.107314,23.330706",[],[],0,113.107314,23.330706,113.10180290502292,23.333137585374427,40200,摩托车服务,摩托车维修,摩托车维修
[],[],440000,[],"{'cost': [], 'rating': []}",0,摩托车服务;摩托车服务相关;摩托车服务相关,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/677eeef677d90981cf9dc789634e83fc'}]",0,3413709811,040000,0,[],20,花都区,[],[],[],B0FFH3QJ7P,[],[],[],0,[],2022-03-16 13:54:36,[],南街路与炭范公路交叉口北100米,440114,广东省,[],广州市,[],0,炭步,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],文记摩托车修配部,"113.107573,23.329394",[],[],0,113.107573,23.329394,113.10206204687648,23.331826003297262,40000,摩托车服务,摩托车服务相关,摩托车服务相关
[],[],440000,[],"{'cost': [], 'rating': '3.7'}",0,摩托车服务;摩托车服务相关;摩托车服务相关,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/69b512d5aba4ddc7bbe055fbccb32d93'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/6d72c2a6882f02b119f1bee971567954'}]",0,3513014021,040000,0,[],20,花都区,[],[],[],B0FFHIKCZL,[],[],[],0,[],2022-06-01 05:16:30,[],风神大道裕兴五金器材经营部西侧约200米,440114,广东省,[],广州市,[],0,炭步,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],摩托车,"113.130028,23.372683",[],F49F008041_13988,0,113.130028,23.372683,113.1245293383518,23.37512433838901,40000,摩托车服务,摩托车服务相关,摩托车服务相关
[],[],440000,[],"{'cost': [], 'rating': []}",0,摩托车服务;摩托车维修;摩托车维修,[],0,3513013021,040200,0,[],20,花都区,[],[],[],B0I6JKYO90,[],[],[],0,[],2022-04-01 09:31:08,[],黎屋村一街与黎屋路和平路北120米,440114,广东省,[],广州市,[],0,炭步,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],自行车,"113.133563,23.364462",[],[],0,113.133563,23.364462,113.12806904066838,23.36690946950859,40200,摩托车服务,摩托车维修,摩托车维修
[],[],440000,[],"{'cost': [], 'rating': '3.8'}",0,摩托车服务;摩托车维修;摩托车维修,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/a3919c7f95d9e1bbcd2606772d82403a'}]",0,3513012112,040200,0,[],20,花都区,[],[],[],B0FFG4JV4N,[],[],[],0,[],2022-05-30 00:58:39,[],校旁街马溪市场南侧约260米,440114,广东省,[],广州市,[],0,马溪,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],广源摩托车维修,"113.148025,23.353148",[],F49F008042_269451,0,113.148025,23.353148,113.1425525292893,23.355619683793822,40200,摩托车服务,摩托车维修,摩托车维修
[],[],440000,[],"{'cost': [], 'rating': []}",0,摩托车服务;摩托车服务相关;摩托车服务相关,[],0,3513006611,040000,0,[],20,花都区,[],[],[],B0FFKXPV6H,[],[],[],0,[],2022-03-17 08:28:20,[],华贵路10-3号,440114,广东省,[],广州市,[],0,赤坭村,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],福记摩托维修服务部,"113.080657,23.387490",[],[],0,113.080657,23.38749,113.0751538338062,23.38991480851558,40000,摩托车服务,摩托车服务相关,摩托车服务相关
[],[],440000,[],"{'cost': [], 'rating': []}",0,摩托车服务;摩托车服务相关;摩托车服务相关,[],0,3513006610,040000,0,[],20,花都区,[],[],[],B0GKCKQT1P,[],[],[],0,[],2022-03-17 22:21:41,[],振中一路花都区赤坭镇中心幼儿园东南侧约120米,440114,广东省,[],广州市,[],0,赤坭村,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],高价收购摩托,"113.078857,23.388257",[],[],0,113.078857,23.388257,113.073355838455,23.390683158476133,40000,摩托车服务,摩托车服务相关,摩托车服务相关
