parent,distance,pcode,importance,biz_ext,recommend,type,photos,discount_num,gridcode,typecode,shopinfo,poiweight,citycode,adname,children,alias,tel,id,tag,event,entr_location,indoor_map,email,timestamp,website,address,adcode,pname,biz_type,cityname,postcode,match,business_area,indoor_data,childtype,exit_location,name,location,shopid,navi_poiid,groupbuy_num,longitude_gcj02,latitude_gcj02,longitude_wgs84,latitude_wgs84,typecode_single,大类,中类,小类
[],[],440000,[],"{'cost': [], 'rating': '4.2'}",0,汽车销售;日产特约销售;东风日产销售|汽车维修;汽车维修;汽车维修,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/2ebe7ce0726ccb19bed04a47d278f103'}, {'title': '产品图', 'url': 'http://store.is.autonavi.com/showpic/113c7787a1ac699f93ce5c85fdb33101'}, {'title': '产品图', 'url': 'http://store.is.autonavi.com/showpic/3fa405aa6f4f14e03fd2d960bf09080d'}]",0,3513015311,020701|030000,0,[],020,花都区,[],广州风日,020-86871333;020-86871222,B00140TWL7,[],[],"113.168100,23.379364",0,[],2022-06-01 23:23:30,[],风神大道10号,440114,广东省,[],广州市,510800,0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],东风日产广州风日专营店,"113.168261,23.379883",[],F49F008042_117;118,0,113.168261,23.379883,113.16282244813348,23.382385909040888,20701,汽车销售,日产特约销售,东风日产销售
[],[],440000,[],"{'cost': [], 'rating': '3.7'}",0,汽车销售;汽车销售;汽车销售,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/bead3bf9065d63c0ff360d2e52bc44c0'}]",0,3513003912,020000,1,[],020,花都区,[],[],13148986226;17743365927,B0HKKSJ47O,[],[],[],0,[],2022-05-27 12:39:16,[],炭步镇民主村温屋花都大道西11号,440114,广东省,[],广州市,[],0,炭步,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],广州市川粤汽车贸易有限公司,"113.123009,23.363764",[],[],0,113.123009,23.363764,113.1175040256255,23.366199298297104,20000,汽车销售,汽车销售,汽车销售
[],[],440000,[],"{'cost': [], 'rating': '4.6'}",0,汽车维修;货车维修;货车维修|汽车销售;货车销售;货车销售,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/3921d2167bb136f2f4d36b4519d31988'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/012a86724d584ba1b8cac5735b0eb5f0'}]",0,3513003922,035000|025000,1,[],020,花都区,[],[],020-37713866;18102560803,B0FFMH7M4O,[],[],"113.12082,23.36635",0,[],2022-05-06 11:17:11,[],炭步镇民主三队一街18号,440114,广东省,[],广州市,[],0,炭步,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],汉风重卡(广州)维修服务有限公司,"113.120841,23.366285",[],[],0,113.120841,23.366285,113.11533408534048,23.368717719440884,25000,汽车销售,货车销售,货车销售
[],[],440000,[],"{'cost': [], 'rating': '3.8'}",0,汽车销售;汽车销售;汽车销售,[],0,3513014002,020000,0,[],020,花都区,[],[],13928807423,B0IBUSJEZM,[],[],[],0,[],2022-05-30 23:08:27,[],车城大道10号,440114,广东省,[],广州市,[],0,炭步,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],揽悦房车销售有限公司,"113.133713,23.366876",[],[],0,113.133713,23.366876,113.12821905933912,23.36932318589543,20000,汽车销售,汽车销售,汽车销售
[],[],440000,[],"{'cost': [], 'rating': '4.0'}",0,汽车销售;汽车销售;汽车销售,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/310d17e3009a8310469fce72cc6e1a79'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/ca28878e31e92d47ea869ab297691cac'}]",0,3513014021,020000,1,[],020,花都区,[],[],13822618397,B0FFKXKLBH,[],[],"113.130675,23.372615",0,[],2022-05-26 17:45:31,[],炭步镇四角围村大田1队三街28号,440114,广东省,[],广州市,[],0,炭步,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],长安汽车炭步店,"113.130645,23.372454",[],[],0,113.130645,23.372454,113.1251470463796,23.37489614323691,20000,汽车销售,汽车销售,汽车销售
[],[],440000,[],"{'cost': [], 'rating': '4.4'}",0,汽车销售;汽车销售;汽车销售,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/7933fe880e593c5318b768c2d3341c58'}]",0,3513014010,020000,0,[],020,花都区,[],[],[],B0FFL50YRJ,[],[],[],0,[],2022-05-30 10:09:57,[],炭步镇八角围加油站旁边(原高山小溪),440114,广东省,[],广州市,[],0,炭步,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],广州穗恒柳工运输车销售有限公司,"113.127900,23.371111",[],[],0,113.1279,23.371111,113.12239915928062,23.373550108179103,20000,汽车销售,汽车销售,汽车销售
[],[],440000,[],"{'cost': [], 'rating': []}",0,汽车销售;汽车销售;汽车销售,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/f228b67162c007c1953d9028818de341'}]",0,3513013022,020000,0,[],020,花都区,[],[],[],B0H6PSOHEK,[],[],[],0,[],2022-05-18 04:42:13,[],车城大道众润公寓东北侧约230米,440114,广东省,[],广州市,[],0,炭步,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],广州众润汽车贸易有限公司,"113.136309,23.366421",[],[],0,113.136309,23.366421,113.13081839493564,23.368871830137373,20000,汽车销售,汽车销售,汽车销售
[],[],440000,[],"{'cost': [], 'rating': '3.3'}",0,汽车销售;汽车销售;汽车销售,[],0,3513011121,020000,0,[],020,花都区,[],[],[],B0HR0PPTG0,[],[],[],0,[],2022-05-29 11:48:11,[],东秀路与里边街交叉路口东侧,440114,广东省,[],广州市,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],广州凯润卡车贸易有限公司,"113.143744,23.350371",[],[],0,113.143744,23.350371,113.13826502732992,23.35283631130665,20000,汽车销售,汽车销售,汽车销售
[],[],440000,[],"{'cost': [], 'rating': '3.5'}",0,汽车销售;汽车销售;汽车销售,[],0,3513014100,020000,0,[],020,花都区,[],[],[],B0FFH82CNP,[],[],"113.139512,23.369028",0,[],2022-05-31 00:07:24,[],祥瑞路与车城路交口东80米,440114,广东省,[],广州市,[],0,炭步,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],炭步镇汽车城,"113.140140,23.368455",[],[],0,113.14014,23.368455,113.1346544948896,23.37091099735117,20000,汽车销售,汽车销售,汽车销售
[],[],440000,[],"{'cost': [], 'rating': '3.9'}",0,汽车销售;货车销售;货车销售,[],0,3413708811,025000,0,[],020,花都区,[],[],18818903168,B0G0MHLU0V,[],[],"113.106726,23.321865",0,[],2022-05-31 22:56:01,[],炭步镇茶塘村茶塘路自编8号之二,440114,广东省,[],广州市,[],0,炭步,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],炭步货车市场,"113.106836,23.321931",[],[],0,113.106836,23.321931,113.1013254207264,23.324364543811576,25000,汽车销售,货车销售,货车销售
