parent,distance,pcode,importance,biz_ext,recommend,type,photos,discount_num,gridcode,typecode,shopinfo,poiweight,citycode,adname,children,alias,tel,id,tag,event,entr_location,indoor_map,email,timestamp,website,address,adcode,pname,biz_type,cityname,postcode,match,business_area,indoor_data,childtype,exit_location,name,location,shopid,navi_poiid,groupbuy_num,longitude_gcj02,latitude_gcj02,longitude_wgs84,latitude_wgs84,typecode_single,大类,中类,小类
[],[],440000,[],"{'cost': [], 'rating': []}",0,道路附属设施;服务区;高速服务区,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/b00a980508b65ac9144592c128ad8042'}]",0,3413707521,180300,2,[],20,花都区,[],[],[],B00140U5G5,[],[],"113.071538,23.313001",0,[],2022-06-01 10:40:19,[],花都区,440114,广东省,[],广州市,[],0,炭步,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],炭步服务区,"113.068275,23.314411",[],[],0,113.068275,23.314411,113.0627941919516,23.316864745660805,180300,道路附属设施,服务区,高速服务区
[],[],440000,[],"{'cost': [], 'rating': []}",0,道路附属设施;服务区;高速服务区,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/f7b9453024da8c66fde743a9e02242d1'}]",0,3413707511,180300,2,[],20,花都区,[],[],[],B00141IMKI,[],[],"113.064484,23.314157",0,[],2022-05-31 16:55:49,[],花都区,440114,广东省,[],广州市,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],炭步服务区,"113.067509,23.311997",[],[],0,113.067509,23.311997,113.06202967185756,23.314452400575792,180300,道路附属设施,服务区,高速服务区
[],[],440000,[],"{'cost': [], 'rating': []}",0,道路附属设施;收费站;收费站,[],0,3513004101,180200,2,[],20,花都区,[],[],[],BZ7TP500AR,[],[],[],0,[],2022-04-20 03:50:20,[],花都区,440114,广东省,[],广州市,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],收费站(S16佛清从高速入口南向),"113.018725,23.367387",[],[],0,113.018725,23.367387,113.01337340325531,23.36993896619179,180200,道路附属设施,收费站,收费站
[],[],440000,[],"{'cost': [], 'rating': []}",0,道路附属设施;收费站;收费站,[],0,3513004101,180200,2,[],20,花都区,[],[],[],BZ7TP500AQ,[],[],[],0,[],2022-05-29 06:20:05,[],花都区,440114,广东省,[],广州市,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],收费站(S16佛清从高速出口北向),"113.018771,23.367424",[],[],0,113.018771,23.367424,113.01341924391524,23.369975826009128,180200,道路附属设施,收费站,收费站
[],[],440000,[],"{'cost': [], 'rating': []}",0,道路附属设施;收费站;收费站,[],0,3513004111,180200,2,[],20,花都区,[],[],[],BZ7TP500AY,[],[],[],0,[],2022-05-30 17:57:59,[],花都区,440114,广东省,[],广州市,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],赤坭收费站(S16佛清从高速入口西北向),"113.016851,23.370142",[],[],0,113.016851,23.370142,113.01150563657998,23.37269886393899,180200,道路附属设施,收费站,收费站
[],[],440000,[],"{'cost': [], 'rating': []}",0,道路附属设施;收费站;收费站,[],0,3513004111,180200,2,[],20,花都区,[],[],[],BZ7TP500AX,[],[],[],0,[],2022-05-30 17:57:49,[],花都区,440114,广东省,[],广州市,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],赤坭收费站(S16佛清从高速出口佛山方向),"113.016799,23.370114",[],[],0,113.016799,23.370114,113.01145381739302,23.37267102103981,180200,道路附属设施,收费站,收费站
[],[],440000,[],"{'cost': [], 'rating': []}",0,道路附属设施;收费站;收费站,[],0,3413707702,180200,2,[],20,花都区,[],[],[],B0FFGQ7KYE,[],[],[],0,[],2022-04-15 19:09:12,[],花都区,440114,广东省,[],广州市,[],0,炭步,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],炭步收费站(G15沈海高速入口),"113.098825,23.310650",[],[],0,113.098825,23.31065,113.0933153152024,23.313084791864146,180200,道路附属设施,收费站,收费站
[],[],440000,[],"{'cost': [], 'rating': []}",0,道路附属设施;收费站;收费站,"[{'title': [], 'url': 'http://aos-cdn-image.amap.com/sns/ugccomment/9feef5b1-9336-4710-b171-932031520931.jpg'}]",0,3413707702,180200,2,[],20,花都区,[],[],[],B0FFH6IT31,[],[],[],0,[],2022-06-01 02:49:12,[],花都区,440114,广东省,[],广州市,[],0,炭步,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],炭步收费站(G15沈海高速出口),"113.098875,23.310410",[],[],0,113.098875,23.31041,113.0933653215108,23.31284485600258,180200,道路附属设施,收费站,收费站
[],[],440000,[],"{'cost': [], 'rating': []}",0,道路附属设施;收费站;收费站,[],0,3513103120,180200,2,[],20,花都区,[],[],[],B0FFH6IRPH,[],[],[],0,[],2022-05-30 18:22:17,[],丁香区,440114,广东省,[],广州市,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],国泰服务区(G94珠三角环线高速入口),"113.015511,23.446696",[],[],0,113.015511,23.446696,113.01016508871456,23.449245376875464,180200,道路附属设施,收费站,收费站
[],[],440000,[],"{'cost': [], 'rating': []}",0,道路附属设施;收费站;收费站,[],0,3513103120,180200,2,[],20,花都区,[],[],[],B0FFH6IT07,[],[],[],0,[],2022-05-26 20:41:58,[],丁香区,440114,广东省,[],广州市,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],国泰服务区(G94珠三角环线高速出口),"113.013956,23.446864",[],[],0,113.013956,23.446864,113.00861547799464,23.4494179367331,180200,道路附属设施,收费站,收费站
[],[],440000,[],"{'cost': [], 'rating': []}",0,道路附属设施;收费站;收费站,[],0,3513103111,180200,2,[],20,花都区,[],[],[],B0FFH6ITS6,[],[],[],0,[],2022-05-28 10:49:28,[],花都区,440114,广东省,[],广州市,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],国泰收费站(G94珠三角环线高速入口东向),"113.018441,23.445844",[],[],0,113.018441,23.445844,113.01308506650189,23.44838492645331,180200,道路附属设施,收费站,收费站
[],[],440000,[],"{'cost': [], 'rating': []}",0,道路附属设施;收费站;收费站,[],0,3513103111,180200,2,[],20,花都区,[],[],[],B0FFH6ITPR,[],[],[],0,[],2022-06-01 11:13:15,[],花都区,440114,广东省,[],广州市,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],国泰收费站(G94珠三角环线高速出口赤坭方向),"113.018466,23.446135",[],[],0,113.018466,23.446135,113.01310996137512,23.44867582424348,180200,道路附属设施,收费站,收费站
[],[],440000,[],"{'cost': [], 'rating': []}",0,道路附属设施;收费站;收费站,[],0,3513102422,180200,2,[],20,花都区,[],[],[],B0FFGQ9W2K,[],[],[],0,[],2022-05-29 17:26:17,[],花都区,440114,广东省,[],广州市,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],三坑收费站(G94珠三角环线高速入口西向),"113.059776,23.441499",[],[],0,113.059776,23.441499,113.05430259593604,23.44394211112899,180200,道路附属设施,收费站,收费站
[],[],440000,[],"{'cost': [], 'rating': []}",0,道路附属设施;收费站;收费站,[],0,3513102422,180200,2,[],20,花都区,[],[],[],B0FFH0T29T,[],[],[],0,[],2022-06-01 00:38:37,[],花都区,440114,广东省,[],广州市,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],三坑收费站(G94珠三角环线高速出口三坑方向),"113.059643,23.440971",[],[],0,113.059643,23.440971,113.0541699105198,23.443414393199333,180200,道路附属设施,收费站,收费站
[],[],440000,[],"{'cost': [], 'rating': []}",0,道路附属设施;收费站;收费站,[],0,3513105900,180200,2,[],20,花都区,[],[],[],B0FFGQ5OLA,[],[],[],0,[],2022-06-01 02:41:04,[],丁香区,440114,广东省,[],广州市,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],马岭服务区(G94珠三角环线高速出口马岭方向),"113.115677,23.461468",[],[],0,113.115677,23.461468,113.11016007298258,23.46388292970352,180200,道路附属设施,收费站,收费站
